City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
500,Cotonou,BJ,82.38,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
501,Ifakara,TZ,86.92,light rain,-8.1333,36.6833,Tanzanian Training Centre for International Health
502,Mahibadhoo,MV,82.89,scattered clouds,3.7833,72.9667,Omadhoo Inn
503,Vao,NC,77.23,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
506,Boa Vista,BR,76.98,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
510,San Ramon De La Nueva Oran,AR,76.37,overcast clouds,-23.1322,-64.326,Hotel Residencial Centro
512,Mbandaka,CD,81.28,overcast clouds,0.0487,18.2603,Guest House Epervier
514,Aboso,GH,80.8,broken clouds,5.3617,-1.9473,New Atuabo
517,The Valley,AI,80.1,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
519,Cap Malheureux,MU,85.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
526,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
530,Kirakira,SB,80.42,overcast clouds,-10.4544,161.9205,SanBiz Lodge
532,Pangkalanbuun,ID,82.35,light rain,-2.6833,111.6167,Grand Kecubung Hotel
534,Malabo,GQ,82.51,moderate rain,3.75,8.7833,Hostal Residencia Morenita
538,Ugoofaaru,MV,82.49,scattered clouds,5.6667,73.0,Ungoofaaru Inn
542,Dingle,PH,78.48,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
544,Kavaratti,IN,81.03,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
549,Manakara,MG,86.54,clear sky,-22.1333,48.0167,La Residence Manakara
561,Gigmoto,PH,79.48,few clouds,13.7796,124.39,Cj's Travellers Inn
562,Mayumba,GA,80.71,overcast clouds,-3.432,10.6554,LIKWALE LODGE
563,Sumbe,AO,80.89,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
577,Minab,IR,80.1,clear sky,27.1467,57.0801,Bam campground
590,Kudahuvadhoo,MV,82.17,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
591,Veraval,IN,81.41,clear sky,20.9,70.3667,Lords Inn Somnath
596,Luanda,AO,80.6,broken clouds,-8.8368,13.2343,Hotel Fórum
597,Pringsewu,ID,80.46,overcast clouds,-5.3582,104.9744,Urban Style by Front One
598,Farafangana,MG,84.83,clear sky,-22.8167,47.8333,Miarina
603,Eyl,SO,84.51,clear sky,7.9803,49.8164,Amiin Hotel
605,Matadi,CD,81.68,overcast clouds,-5.8167,13.45,Hotel Vivi Palace
610,Ambulu,ID,82.65,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
616,Keti Bandar,PK,79.72,clear sky,24.1447,67.4497,Haji laloo memon house
620,Antalaha,MG,84.79,few clouds,-14.9003,50.2788,Hotel Vitasoa
622,Bubaque,GW,80.04,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
623,Gombong,ID,81.01,overcast clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
625,Ca Mau,VN,83.91,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
626,Harper,LR,80.85,light rain,4.375,-7.7169,Screensaver
628,Fare,PF,81.16,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
631,Maceio,BR,78.24,broken clouds,-9.6658,-35.7353,Poutur Pousada
634,Namatanai,PG,78.58,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
636,Omboue,GA,82.8,light rain,-1.5746,9.2618,Hotel Olako
637,Carutapera,BR,75.79,overcast clouds,-1.195,-46.02,Lidera
640,Sri Aman,MY,78.85,light intensity shower rain,1.2376,111.4621,Seri Simanggang Hotel
644,Gorontalo,ID,83.53,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
