City_id,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
170,Ponta Do Sol,PT,2021-12-05 08:11:42,32.6667,-17.1,65.03,69,100,7.78,overcast clouds
171,Galle,LK,2021-12-05 08:11:43,6.0367,80.217,83.23,75,30,7.83,scattered clouds
172,Monteria,CO,2021-12-05 08:11:44,8.748,-75.8814,75.18,93,100,5.32,overcast clouds
173,East London,ZA,2021-12-05 08:11:46,-33.0153,27.9116,70.2,94,100,17.94,light rain
174,Lata,PT,2021-12-05 08:11:47,40.1629,-8.3327,51.93,83,99,6.91,overcast clouds
175,Lorengau,PG,2021-12-05 08:03:16,-2.0226,147.2712,83.07,81,100,13.04,moderate rain
176,Boda,CF,2021-12-05 08:11:50,4.3189,17.4695,85.82,52,53,0.78,broken clouds
177,Mastic Beach,US,2021-12-05 08:11:51,40.7668,-72.8521,43.02,64,1,1.01,clear sky
178,Santa Rosa,PH,2021-12-05 08:11:52,14.3122,121.1114,83.1,63,30,15.08,scattered clouds
179,Naze,JP,2021-12-05 08:08:19,28.3667,129.4833,61.27,68,100,15.05,overcast clouds
180,Flin Flon,CA,2021-12-05 08:11:55,54.7682,-101.865,-3.15,90,100,6.78,overcast clouds
181,Ereymentau,KZ,2021-12-05 08:11:57,51.6199,73.1033,30.22,89,100,1.86,overcast clouds
182,Mecca,SA,2021-12-05 08:00:29,21.4267,39.8261,81.48,49,0,2.37,clear sky
183,Upernavik,GL,2021-12-05 08:11:59,72.7868,-56.1549,22.77,80,100,9.15,overcast clouds
184,Provideniya,RU,2021-12-05 08:02:03,64.3833,-173.3,29.01,97,100,44.43,snow
185,Kralendijk,BQ,2021-12-05 08:12:02,12.15,-68.2667,80.58,74,20,16.11,few clouds
186,Syracuse,IT,2021-12-05 08:09:16,37.0881,15.2792,59.43,70,39,15.86,scattered clouds
187,Clyde River,CA,2021-12-05 08:04:54,70.4692,-68.5914,7.12,87,100,33.87,overcast clouds
188,Kapaa,US,2021-12-05 08:07:58,22.0752,-159.319,64.72,72,75,5.75,broken clouds
189,Qaqortoq,GL,2021-12-05 08:12:07,60.7167,-46.0333,32.5,94,100,13.76,snow
190,Bosaso,SO,2021-12-05 08:12:08,11.2842,49.1816,81.73,49,67,11.65,broken clouds
191,Arlit,NE,2021-12-05 08:12:10,18.7369,7.3853,73.4,16,100,5.19,overcast clouds
192,Roald,NO,2021-12-05 08:12:11,62.5833,6.1333,37.33,75,75,8.05,light snow
193,Poum,NC,2021-12-05 08:03:49,-20.2333,164.0167,81.03,73,40,8.68,scattered clouds
194,Susangerd,IR,2021-12-05 08:12:14,31.5608,48.1831,64.42,20,100,2.04,overcast clouds
195,Ust-Nera,RU,2021-12-05 08:12:15,64.5667,143.2,-30.48,97,100,5.61,overcast clouds
196,Inirida,CO,2021-12-05 08:12:16,3.8653,-67.9239,71.13,98,100,0.74,overcast clouds
197,Ginir,ET,2021-12-05 08:12:18,7.1333,40.7,69.31,33,37,5.84,scattered clouds
198,Pisco,PE,2021-12-05 08:12:19,-13.7,-76.2167,66.25,82,20,2.3,few clouds
199,Poitiers,FR,2021-12-05 08:12:21,46.5833,0.3333,36.68,65,0,5.75,clear sky
200,Upington,ZA,2021-12-05 08:12:22,-28.4478,21.2561,68.38,40,20,3.44,few clouds
201,Berea,US,2021-12-05 08:12:23,41.3662,-81.8543,38.46,67,90,5.75,overcast clouds
202,Ahipara,NZ,2021-12-05 08:12:25,-35.1667,173.1667,66.61,91,11,10.04,few clouds
203,San Jose,US,2021-12-05 08:08:23,37.3394,-121.895,55.09,87,90,0.0,overcast clouds
204,Broken Hill,AU,2021-12-05 08:12:27,-31.95,141.4333,78.15,22,100,9.66,overcast clouds
205,Husavik,IS,2021-12-05 08:04:51,66.0449,-17.3389,20.28,72,76,17.34,broken clouds
206,Toba Tek Singh,PK,2021-12-05 08:12:31,30.9743,72.4827,77.9,16,0,2.59,clear sky
207,Presidencia Roque Saenz Pena,AR,2021-12-05 08:12:32,-26.7852,-60.4388,68.5,58,53,6.44,broken clouds
208,Teya,RU,2021-12-05 08:12:34,60.3778,92.6267,16.07,93,100,8.59,light snow
209,Sao Filipe,CV,2021-12-05 08:12:35,14.8961,-24.4956,74.91,75,99,10.51,overcast clouds
210,Liverpool,GB,2021-12-05 08:12:38,53.4106,-2.9779,42.69,83,75,11.01,broken clouds
211,Sao Joao Batista,BR,2021-12-05 08:12:39,-27.2761,-48.8494,71.78,99,100,1.03,overcast clouds
212,Kirishi,RU,2021-12-05 08:12:41,59.4471,32.0205,6.69,88,100,7.47,overcast clouds
213,Sioux Lookout,CA,2021-12-05 08:12:42,50.1001,-91.917,5.77,97,100,4.32,overcast clouds
214,Sawtell,AU,2021-12-05 08:12:44,-30.3833,153.1,64.42,88,90,9.22,overcast clouds
215,Sant Julia De Loria,AD,2021-12-05 08:12:45,42.4625,1.4825,33.84,91,91,4.05,snow
216,Horsham,GB,2021-12-05 08:12:47,51.064,-0.3272,42.03,84,75,18.41,broken clouds
217,Yulara,AU,2021-12-05 08:12:48,-25.2406,130.9889,86.43,26,100,10.8,overcast clouds
218,Talnakh,RU,2021-12-05 08:12:49,69.4865,88.3972,-30.8,98,100,9.6,overcast clouds
219,Chuy,UY,2021-12-05 08:12:51,-33.6971,-53.4616,61.18,93,23,3.58,few clouds
220,Tomatlan,MX,2021-12-05 08:06:17,19.9333,-105.25,70.43,92,68,2.82,broken clouds
221,Preobrazheniye,RU,2021-12-05 08:12:12,42.9019,133.9064,31.6,70,10,9.35,clear sky
222,Sept-Iles,CA,2021-12-05 08:02:02,50.2001,-66.3821,16.95,67,99,5.53,overcast clouds
223,Richards Bay,ZA,2021-12-05 08:08:19,-28.783,32.0377,78.37,75,100,7.02,overcast clouds
224,Alofi,NU,2021-12-05 08:12:57,-19.0595,-169.9187,79.3,81,100,3.2,light rain
225,Oudtshoorn,ZA,2021-12-05 08:12:58,-33.5907,22.2014,64.76,64,59,1.54,broken clouds
226,Podgornoye,RU,2021-12-05 08:13:00,51.735,39.1496,30.42,80,0,2.24,clear sky
227,Turukhansk,RU,2021-12-05 08:13:01,65.8167,87.9833,-39.39,100,27,3.29,scattered clouds
228,Sedona,US,2021-12-05 08:13:02,34.8697,-111.761,51.55,49,1,1.99,clear sky
229,Yichun,CN,2021-12-05 08:10:04,47.7,128.9,22.3,85,18,7.07,few clouds
230,Codrington,AU,2021-12-05 08:05:09,-38.2667,141.9667,57.83,56,0,14.52,clear sky
231,Mount Pleasant,US,2021-12-05 08:13:06,32.7941,-79.8626,57.99,97,20,0.0,mist
232,Makakilo City,US,2021-12-05 08:13:07,21.3469,-158.0858,71.92,77,90,8.05,light rain
233,Singarayakonda,IN,2021-12-05 08:13:09,15.25,80.0333,85.53,54,0,5.59,clear sky
234,Carballo,ES,2021-12-05 08:13:10,43.213,-8.691,51.76,91,96,8.23,light rain
235,Port Hedland,AU,2021-12-05 08:13:13,-20.3167,118.5667,100.45,28,9,26.46,clear sky
236,Nishihara,JP,2021-12-05 08:10:58,26.1842,127.7558,69.08,50,40,14.97,scattered clouds
237,Charters Towers,AU,2021-12-05 08:13:15,-20.1,146.2667,87.15,45,80,18.54,broken clouds
